ID,AI,Definition,NoWindNoLegalNoBeneficial,NoWindNoLegal__Beneficial,NoWind__LegalNoBeneficial,NoWind__Legal__Beneficial,__WindNoLegalNoBeneficial,__WindNoLegal__Beneficial,__Wind__LegalNoBeneficial,__Wind__Legal__Beneficial
2,TRUE,The Formal,7,3.5,2.5,3,4.5,6,4.5,5
3,TRUE,The Formal,9,7.5,10,8.5,1.5,1.5,1,4.5
4,TRUE,The Formal,8,4,9.5,5.5,0.5,0.5,1,5
5,TRUE,The Formal,4.5,5.5,4.5,7,5,7.5,5,5.5
6,TRUE,The Formal,3,10,10,10,4.5,9,6,5.5
7,TRUE,The Formal,10,10,5,10,4,4,0,6.5
8,TRUE,The Formal,0,5,10,10,0,5,5,10
9,TRUE,The Formal,10,10,10,10,5.5,1,5.5,1
10,TRUE,The Formal,9,9,9,9.5,1,0,0.5,1
11,TRUE,The Formal,8.5,9,10,10,3.5,6.5,1.5,6.5
12,TRUE,The Formal,4.5,5.5,10,9,1,8.5,4.5,4
13,TRUE,The Formal,10,10,10,10,0.5,2.5,0,0
14,TRUE,The Formal,10,10,9.5,10,1.5,1,1.5,3
15,TRUE,The Formal,5.5,5.5,5.5,5,4.5,5.5,6,5.5
16,TRUE,The Formal,10,10,10,10,1.5,1,6.5,5.5
17,TRUE,The Formal,10,10,10,10,0,0,0,0
18,TRUE,The Formal,10,10,10,10,1.5,2,2.5,6.5
19,TRUE,The Formal,9.5,8,10,10,2,2,2,3.5
20,TRUE,The Formal,10,10,10,10,1,1,1,1
21,TRUE,The Formal,9,9,10,10,3,3.5,2,3
22,TRUE,The Formal,3.5,3.5,3.5,2,2.5,2,1.5,3
23,TRUE,The Formal,7,10,7.5,8.5,1.5,1,1.5,1
24,TRUE,The Formal,10,10,10,10,0,10,10,10
25,TRUE,The Formal,10,10,10,10,0,0,0,0
26,TRUE,The Formal,5,1.5,10,9.5,1,2,5.5,5
27,TRUE,The Formal,10,10,10,10,0.5,0.5,5,8.5
28,TRUE,The Formal,10,9.5,9.5,10,10,10,9.5,9.5
29,TRUE,The Formal,5.5,8.5,10,9,4.5,9,2,9
30,TRUE,The Formal,10,10,10,10,1.5,3.5,4,5.5
31,TRUE,The Formal,10,10,10,10,0.5,0.5,1,0.5
32,TRUE,The Formal,7,9,8.5,9,3.5,6.5,7,9
33,TRUE,your,8.5,10,9.5,10,2,4.5,6,2.5
34,TRUE,your,6.5,5,7.5,5,8.5,7,5.5,8
35,TRUE,your,3.5,4.5,8,6.5,3.5,5,6,4
36,TRUE,your,10,10,10,10,0,0,0,5
37,TRUE,your,9.5,9.5,9,9.5,10,9,9,9
38,TRUE,your,8,6.5,6.5,4.5,5,8,6,5.5
39,TRUE,your,10,10,10,10,0,5,5,10
40,TRUE,your,3.5,7,9.5,8.5,6.5,5.5,3.5,10
41,TRUE,your,7.5,10,10,10,0,5.5,0,5.5
42,TRUE,your,8.5,10,5.5,10,6,2.5,2,10
43,TRUE,your,9,9.5,9.5,8,8.5,9.5,8.5,9
44,TRUE,your,10,10,10,10,0.5,1,1,0.5
45,TRUE,your,10,10,10,10,0,0.5,1.5,10
46,TRUE,your,10,5,10,10,0.5,0,0.5,0
47,TRUE,your,6,8.5,10,10,1,1.5,1.5,3.5
48,TRUE,your,10,0,10,10,0,0,0,5
49,TRUE,your,10,10,10,10,0,0,0,0.5
50,TRUE,your,9,9.5,10,9.5,7,7.5,4,7.5
51,TRUE,your,4,7.5,8,7.5,3,3,2,5
52,TRUE,your,6,9.5,8.5,10,4,5.5,4,6.5
53,TRUE,your,10,10,10,10,0,0.5,0,0
54,TRUE,your,1,10,10,10,1,1,1,10
55,TRUE,your,10,10,10,10,0,0,0,0
56,TRUE,your,9.5,10,10,10,0,0,0,0
57,TRUE,your,3.5,6,9,8.5,3.5,2.5,6.5,7
58,TRUE,your,4,6,7,5.5,3.5,6.5,7.5,8
59,TRUE,your,5.5,9.5,6,6,4.5,5.5,6.5,7.5
60,TRUE,your,8,9,9,9,0.5,1,2,9
61,TRUE,your,4,1.5,10,10,1.5,1.5,6,1.5
62,TRUE,your,0.5,9,10,8,0,5,1,5.5
63,TRUE,your,10,10,10,10,0,0,0,0
64,TRUE,your,6,3,4.5,3,5.5,3,6.5,4.5
