ID,Definition,AI_NoWindNoIllegalNoBeneficial,AI_NoWindNoIllegalBeneficial,AI_NoWindLegalNoBeneficial,AI_NoWindLegalBeneficial,AI___WindNoIllegalNoBeneficial,AI___WindNoIllegalBeneficial,AI___WindLegalNoBeneficial,AI___WindLegalBeneficial,Hum_NoWindNoIllegalNoBeneficial,Hum_NoWindNoIllegalBeneficial,Hum_NoWindLegalNoBeneficial,Hum_NoWindLegalBeneficial,Hum___WindNoIllegalNoBeneficial,Hum___WindNoIllegalBeneficial,Hum___WindLegalNoBeneficial,Hum___WindLegalBeneficial
11,your,5,9,6,6,7,7,9,8,4,10,9,7,10,8,10,9
12,your,5,5,6,6,6,5,5,7,6,6,7,5,5,7,5,6
13,your,8,5,4,4,4,6,5,6,5,7,6,5,7,8,5,6
14,your,10,10,10,10,0,5,0,2,10,10,10,10,0,0,0,10
15,your,10,10,10,10,1,1,1,1,1,10,10,10,1,1,1,1
16,your,9,9,9,9,2,2,2,9,9,9,9,9,6,5,6,5
17,The Formal,4,0,9,10,1,1,9,10,0,0,2,10,1,1,10,10
18,your,10,10,10,10,1,1,1,1,10,10,10,10,1,1,1,2
19,your,4,10,5,10,10,3,7,9,3,10,4,10,4,3,3,4
20,your,0,8,6,10,4,1,10,6,5,7,3,5,7,7,7,7
21,your,10,10,10,10,2,3,10,10,10,10,10,10,1,1,10,7
22,The Formal,0,2,9,10,2,0,9,10,0,0,10,10,1,0,10,0
23,The Formal,9,9,10,8,5,9,9,8,9,8,10,10,9,8,9,8
24,The Formal,6,10,10,10,2,0,2,10,0,0,10,10,0,2,4,5
25,your,9,10,10,10,2,3,5,1,10,10,10,10,3,1,1,1
26,The Formal,2,5,10,10,10,10,10,10,10,10,0,10,10,10,10,10
27,your,7,7,6,7,6,7,5,6,7,5,6,9,5,7,6,6
28,your,10,10,10,10,5,3,5,10,10,10,10,10,0,6,2,1
29,The Formal,5,10,10,10,0,5,0,10,5,10,5,10,0,5,1,10
30,The Formal,10,9,9,10,1,1,1,3,10,9,10,10,0,0,3,0
31,your,10,10,10,10,0,0,0,1,10,10,10,10,0,0,1,0
32,The Formal,10,10,10,10,0,2,1,2,10,10,0,10,3,3,1,0
33,The Formal,6,10,7,6,3,5,1,4,1,8,8,9,3,2,7,9
34,The Formal,10,10,0,10,1,2,0,10,1,8,0,10,5,6,2,1
35,The Formal,2,10,1,2,4,4,8,7,3,0,10,10,0,10,6,3
36,The Formal,9,5,4,9,9,8,9,9,7,6,8,9,8,6,10,9
37,The Formal,8,8,10,10,0,0,0,0,10,8,10,10,0,0,1,0
38,your,0,10,0,10,0,0,10,0,10,0,0,10,0,0,0,10
39,The Formal,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10
40,your,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0
41,The Formal,3,1,10,8,3,5,10,10,0,1,8,10,5,4,9,7
42,your,10,10,10,10,3,4,10,7,9,8,10,9,3,3,10,3
43,your,10,10,10,10,1,0,2,0,10,10,10,10,0,5,0,10
