V1,heard_of_drones,what_is_Chtofrjk,decide_intent,ai_have_intent,responsible_programmer,responsible_AI_employer,responsible_instructor,responsible_Human_employer,why_responsibility,pilot_mistake,drone_error,heard_of_ai,ai_means_what,PROLIFIC_PID,country_name,country_adj,Intent_word,second_Intent_word,first_Intent_word,Definition,second_Definition,first_Definition,pilot,your_WF_LT_BT_Benefit,your_WF_LT_BT_Intent,your_WF_LT_BT_Desire,your_WF_LT_BT_Skills,your_WF_LT_BT_Break_the_law,your_WF_LT_BT_Cause,your_WF_LT_BT_Decision_freedom,your_WF_LT_BT_Predict,your_WF_LF_BT_Benefit,your_WF_LF_BT_Intent,your_WF_LF_BT_Desire,your_WF_LF_BT_Skills,your_WF_LF_BT_Break_the_law,your_WF_LF_BT_Cause,your_WF_LF_BT_Decision_freedom,your_WF_LF_BT_Predict,your_WT_LT_BT_Benefit,your_WT_LT_BT_Intent,your_WT_LT_BT_Desire,your_WT_LT_BT_Skills,your_WT_LT_BT_Break_the_law,your_WT_LT_BT_Cause,your_WT_LT_BT_Decision_freedom,your_WT_LT_BT_Predict,your_WT_LF_BT_Benefit,your_WT_LF_BT_Intent,your_WT_LF_BT_Desire,your_WT_LF_BT_Skills,your_WT_LF_BT_Break_the_law,your_WT_LF_BT_Cause,your_WT_LF_BT_Decision_freedom,your_WT_LF_BT_Predict,your_WF_LT_BF_Benefit,your_WF_LT_BF_Intent,your_WF_LT_BF_Desire,your_WF_LT_BF_Skills,your_WF_LT_BF_Break_the_law,your_WF_LT_BF_Cause,your_WF_LT_BF_Decision_freedom,your_WF_LT_BF_Predict,your_WF_LF_BF_Benefit,your_WF_LF_BF_Intent,your_WF_LF_BF_Desire,your_WF_LF_BF_Skills,your_WF_LF_BF_Break_the_law,your_WF_LF_BF_Cause,your_WF_LF_BF_Decision_freedom,your_WF_LF_BF_Predict,your_WT_LT_BF_Benefit,your_WT_LT_BF_Intent,your_WT_LT_BF_Desire,your_WT_LT_BF_Skills,your_WT_LT_BF_Break_the_law,your_WT_LT_BF_Cause,your_WT_LT_BF_Decision_freedom,your_WT_LT_BF_Predict,your_WT_LF_BF_Benefit,your_WT_LF_BF_Intent,your_WT_LF_BF_Desire,your_WT_LF_BF_Skills,your_WT_LF_BF_Break_the_law,your_WT_LF_BF_Cause,your_WT_LF_BF_Decision_freedom,your_WT_LF_BF_Predict,Formal_WF_LT_BT_Benefit,Formal_WF_LT_BT_Intent,Formal_WF_LT_BT_Desire,Formal_WF_LT_BT_Skills,Formal_WF_LT_BT_Break_the_law,Formal_WF_LT_BT_Cause,Formal_WF_LT_BT_Decision_freedom,Formal_WF_LT_BT_Predict,Formal_WF_LF_BT_Benefit,Formal_WF_LF_BT_Intent,Formal_WF_LF_BT_Desire,Formal_WF_LF_BT_Skills,Formal_WF_LF_BT_Break_the_law,Formal_WF_LF_BT_Cause,Formal_WF_LF_BT_Decision_freedom,Formal_WF_LF_BT_Predict,Formal_WT_LT_BT_Benefit,Formal_WT_LT_BT_Intent,Formal_WT_LT_BT_Desire,Formal_WT_LT_BT_Skills,Formal_WT_LT_BT_Break_the_law,Formal_WT_LT_BT_Cause,Formal_WT_LT_BT_Decision_freedom,Formal_WT_LT_BT_Predict,Formal_WT_LF_BT_Benefit,Formal_WT_LF_BT_Intent,Formal_WT_LF_BT_Desire,Formal_WT_LF_BT_Skills,Formal_WT_LF_BT_Break_the_law,Formal_WT_LF_BT_Cause,Formal_WT_LF_BT_Decision_freedom,Formal_WT_LF_BT_Predict,Formal_WF_LT_BF_Benefit,Formal_WF_LT_BF_Intent,Formal_WF_LT_BF_Desire,Formal_WF_LT_BF_Skills,Formal_WF_LT_BF_Break_the_law,Formal_WF_LT_BF_Cause,Formal_WF_LT_BF_Decision_freedom,Formal_WF_LT_BF_Predict,Formal_WF_LF_BF_Benefit,Formal_WF_LF_BF_Intent,Formal_WF_LF_BF_Desire,Formal_WF_LF_BF_Skills,Formal_WF_LF_BF_Break_the_law,Formal_WF_LF_BF_Cause,Formal_WF_LF_BF_Decision_freedom,Formal_WF_LF_BF_Predict,Formal_WT_LT_BF_Benefit,Formal_WT_LT_BF_Intent,Formal_WT_LT_BF_Desire,Formal_WT_LT_BF_Skills,Formal_WT_LT_BF_Break_the_law,Formal_WT_LT_BF_Cause,Formal_WT_LT_BF_Decision_freedom,Formal_WT_LT_BF_Predict,Formal_WT_LF_BF_Benefit,Formal_WT_LF_BF_Intent,Formal_WT_LF_BF_Desire,Formal_WT_LF_BF_Skills,Formal_WT_LF_BF_Break_the_law,Formal_WT_LF_BF_Cause,Formal_WT_LF_BF_Decision_freedom,Formal_WT_LF_BF_Predict
2,I have heard about drones before,Forced to break the law,How many times they broke the law and if it was needed,No because computers can be hacked and it could become unsafe,3,8,9,8,It's a human judgement which means they made the choice to break the law,5,3,No,Computers controlling the drone,60e1b62573820810826e4087,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,1,9,10,10,Yes,10,10,10,10,10,9,9,Yes,1,1,6,1,4,4,3,Yes,1,3,9,7,1,2,2,No,10,10,10,1,10,10,10,No,10,2,5,7,5,9,6,No,1,1,6,1,4,6,4,No,10,2,6,10,3,6,6,Yes,8,7,8,7,8,7,9,Yes,6,8,8,7,8,6,8,Yes,9,10,9,9,9,7,9,Yes,8,7,7,6,8,8,7,Yes,7,6,8,5,8,6,8,No,10,10,8,7,8,8,8,Yes,5,8,8,0,8,7,7,Yes,8,7,8,6,7,6,8
5,I have heard about drones before,Intent to fly in the specific area,If they meant to fly in that zone,"Yes because they learn as they do things, and can be programmed a certain way",10,10,3,7,The employer and trainer are ultimately responsible for the employees actions,7,3,Yes,Autonomous machinery,57627bfcb1981100068ad7e3,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,7,10,10,10,10,Yes,3,9,9,1,8,8,8,Yes,3,7,6,6,7,8,9,No,10,10,10,0,10,10,10,No,10,10,8,10,10,10,10,Yes,5,6,6,1,6,5,7,Yes,1,6,7,2,8,8,7,Yes,10,10,10,0,10,10,10,Yes,10,10,6,10,10,10,10,Yes,2,7,7,1,6,6,5,Yes,1,7,6,2,6,5,5,No,10,10,7,0,10,10,10,No,10,10,4,0,10,10,10,No,0,7,6,0,7,7,6,Yes,1,7,6,3,7,7,7
6,I have heard about drones before,Drones can only fly in a specific location if they intend to fly through it.,The legality and the benefit of the drone flying through the locations,"Yes, I believe that AI could have intent because they can be trained to hold the intent of a human pilot. ",7,6,8,8,Both the employer and the pilot of should hold high responsibilities in their actions.,7,4,Yes,AI could be used to make decisions on where to fly based on the wind and fastest route it could take to get to the destination a,5c324470d071a2000143c82a,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,5,10,4,2,Yes,6,5,1,4,5,5,2,Yes,10,10,10,3,9,8,2,Yes,4,2,3,2,5,5,1,No,9,9,9,1,9,5,8,No,1,1,1,3,1,3,1,Yes,10,9,10,2,6,5,3,Yes,4,2,2,5,1,5,1,Yes,10,8,7,0,5,5,9,Yes,9,10,10,8,6,7,3,Yes,10,10,10,3,9,4,4,Yes,9,10,10,7,10,6,8,No,5,6,3,1,6,7,2,No,3,1,1,1,1,1,1,Yes,10,10,10,1,8,8,5,Yes,8,7,6,3,7,4,3
8,I have heard about drones before,It is an illegal fly zone,The description helped me to decide,No i dont think they can have intent,7,10,10,10,The description helped me to determin these judgments,1,5,Yes,I think it means a robot or computer,60ce1d6d0c6dae2c0360f926,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,4,9,10,3,Yes,7,8,7,7,6,7,7,Yes,10,8,9,2,8,9,8,Yes,2,5,8,10,5,6,6,Yes,9,6,7,9,6,9,7,Yes,7,7,7,8,7,7,7,Yes,10,10,10,2,10,10,10,No,3,2,5,10,5,5,4,Yes,10,8,8,9,8,8,8,Yes,8,8,7,7,9,8,6,Yes,9,7,9,8,8,7,6,Yes,6,6,7,6,6,5,6,No,6,8,7,6,8,9,7,No,7,4,5,6,4,4,5,Yes,6,7,9,8,8,7,8,No,6,9,6,8,7,8,9
11,I have heard about drones before,The intent to fly through that specific zone.,"whether there was wind or not, and whether they moved the drone in a direction to account for the wind, which they knew would be","Yes, as they can be programmed by a human pilot with intent, therefore giving the AI intent, however you could argue that this i",7,6,6,5,"After training and employment, a trainer and employer must give the pilot their own responsibility, as otherwise it would be poi",3,6,Yes,programmed pilots with algorithms that can control drones in the place of human pilots.,60e08fee5babddf2e34f1db5,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,8,2,10,10,10,Yes,10,10,9,8,10,10,10,Yes,8,8,7,3,8,10,9,Yes,7,6,4,6,4,10,8,No,10,10,6,1,10,10,10,No,10,6,5,7,10,10,10,Yes,8,7,5,1,6,10,8,Yes,7,7,8,6,8,10,9,Yes,10,10,9,2,10,10,10,Yes,10,10,8,10,10,10,10,Yes,8,9,8,3,8,10,8,Yes,8,7,6,7,7,10,8,No,10,6,5,2,7,10,7,No,10,10,9,9,10,10,10,Yes,8,7,6,2,8,10,7,Yes,8,6,6,6,9,10,9
14,I have heard about drones before,planned route with no regards for consequences,foreseeable planned route and desire,"no, it is programmed to follow instructions",1,10,5,5,Human desire and decision making is not programmed thus responsibility shifts,3,5,Yes,"data covering map routes, building space, airport times ",5eaa97d07eda6e01ec108107,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,8,5,5,7,4,1,Yes,9,8,8,9,9,9,7,Yes,0,1,4,5,1,3,5,Yes,3,4,3,4,4,4,3,No,10,9,9,5,10,10,10,No,8,7,6,8,8,7,6,No,0,3,5,5,4,3,5,Yes,1,2,4,4,3,3,3,Yes,3,6,8,0,8,4,8,Yes,4,7,9,9,10,10,8,Yes,2,4,7,0,7,5,6,Yes,1,3,1,3,1,2,4,No,5,6,5,5,7,7,10,No,7,6,5,7,7,6,7,No,3,2,3,5,3,4,6,Yes,5,5,5,7,6,7,7
15,I have heard about drones before,I would say no illegal flying,Based on the wind levels,Yes I do think this because they are aware of the conditions,3,7,10,8,My own opinion formed these judgements,9,8,No,Drones perhaps or maybe aliens,5ec83217e7e29110f1f1cde0,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,8,5,3,7,5,5,5,Yes,10,10,10,10,10,10,10,Yes,0,0,5,0,0,0,2,Yes,4,5,5,6,5,5,9,No,10,10,10,0,10,10,10,No,10,10,4,10,10,10,10,Yes,6,4,5,5,9,5,5,Yes,10,5,5,5,5,5,5,Yes,3,10,10,0,10,10,10,No,8,5,5,5,5,5,6,Yes,4,5,10,10,10,10,10,Yes,4,9,9,8,9,9,9,Yes,2,5,5,5,5,5,5,No,6,5,5,7,7,6,6,Yes,3,7,6,6,6,6,6,Yes,5,3,3,2,7,7,6
16,I have heard about drones before,Purposely flying through an illegal zone with intent.,If they flew into a no fly zone and if they planned to do so.,No they can only have intent if they are programmed to have intent.,8,7,10,8,It's the fault of the trainer if the trainee does not have all the information needed to fly safely and it's the fault of the em,6,3,Yes,Automatically finding the most efficient flight path based on varying settings.,60e080185b201859ff688f9a,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,5,Yes,10,10,2,10,10,10,10,Yes,10,10,10,0,10,10,10,Yes,1,6,4,6,10,10,1,No,10,10,4,0,10,10,3,No,10,10,5,10,10,10,5,Yes,0,6,6,0,10,10,9,Yes,0,6,4,4,10,8,1,Yes,10,10,10,0,10,10,7,Yes,10,10,3,10,10,10,8,Yes,10,10,10,0,10,10,10,Yes,1,4,5,6,10,10,1,No,10,10,3,0,10,10,3,No,10,10,7,10,10,10,10,No,4,4,3,0,7,10,10,Yes,1,6,5,3,10,10,3
17,I have heard about drones before,The legal concept is best described with freedom to choose and forsee potential issues and still choose to follow through,his knowledge of potential risks and his ability to pilot the drone.,no because AI are programmed to do exactly as told.,10,10,7,7,Humans have freewill to choose which action they want to take while AI do not have the ability to think on their own.,5,4,Yes,Pre conditioned settings to route out the drones path to its final destination.,60e10054d32fedf64b973cda,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,0,10,10,10,Yes,0,5,8,6,7,8,8,No,10,10,10,0,10,10,10,No,10,10,9,8,10,10,9,Yes,5,6,8,0,8,8,8,Yes,6,10,6,7,8,10,9,Yes,10,10,10,5,10,10,10,Yes,10,10,10,10,10,10,10,Yes,0,7,9,0,8,8,8,Yes,5,8,7,7,8,8,8,No,10,10,10,0,10,10,10,No,10,10,10,10,10,10,10,Yes,10,10,10,3,10,10,8,Yes,3,7,7,8,7,7,8
18,I have heard about drones before,With intent to fly through that specific zone,"Whether it looked like they had gone through on purpose or if they had been blown off course by the wind or through bad driving ","Not itself, but the person programming it/operating it might",10,10,4,9,The employer is responsible for keeping employees accountable but the trainer is just teaching them how to do the job,6,7,Yes,Computers programmed to pilot the drone,5faef172bbab740eb8533e8a,Fhljmakon,Fhljmakonian,Cthofrjk,Cthofrjk,Intent,The Formal,The Formal,your,AI,Yes,10,10,10,1,10,1,10,Yes,10,10,9,9,10,8,5,Yes,8,8,9,1,8,2,4,Yes,1,6,7,1,7,2,4,No,1,8,8,1,10,2,8,No,2,5,5,5,9,7,7,Yes,10,10,10,1,10,1,10,Yes,2,10,7,5,10,7,7,Yes,10,10,10,0,10,10,10,Yes,10,10,7,5,9,9,8,Yes,10,10,10,0,10,10,10,Yes,6,4,8,3,5,5,5,No,0,3,5,0,10,6,7,No,0,5,4,2,9,8,8,Yes,0,10,10,0,10,10,10,Yes,0,2,5,0,1,2,3
